network,quantity,symbol,unit,method,finite outputs,attempted samples,method converged samples,common converged samples,sigma calibration samples,MCS [%],MWS,MWIS,standardized MWS,standardized MWIS,component class,rated voltage [kV]
IEEE 33,Voltage magnitude,sigma_|U|,V,Analytical UQ ILSE,33,1000,1000,1000,0,51.69696969696971,21.756379873923407,50.685454827004214,1.3766976739953984,3.207268312563809,Node,12.66
IEEE 33,Voltage magnitude,sigma_|U|,V,Monte Carlo UQ ILSE,33,1000,1000,1000,1000,68.7939393939394,31.606619644795003,48.345196788297464,1.9999999999999876,3.059181736713099,Node,12.66
IEEE 33,Voltage magnitude,sigma_|U|,V,Analytical UQ NRSE,33,1000,1000,1000,0,67.7969696969697,30.468103785400366,47.21979806321956,1.9801003962380763,3.068781093625724,Node,12.66
IEEE 33,Voltage magnitude,sigma_|U|,V,Monte Carlo UQ NRSE,33,1000,1000,1000,1000,68.14545454545454,30.774301993258135,47.22070940779636,1.9999999999999976,3.0688403212616264,Node,12.66
IEEE 33,Voltage magnitude,sigma_|U|,V,Gain inverse NumPy,33,1000,1000,1000,1,67.80606060606063,30.470353919758825,47.21922472581267,1.9802466308697473,3.0687438328354055,Node,12.66
IEEE 33,Active power,sigma_P,kW,Analytical UQ ILSE,33,1000,1000,1000,0,56.22727272727273,40.28479854365845,81.81447349329805,1.5410982093496177,3.1298192657649846,Node,12.66
IEEE 33,Active power,sigma_P,kW,Monte Carlo UQ ILSE,33,1000,1000,1000,1000,68.00303030303031,52.28063766378607,79.59436675781274,2.0,3.0448889039831446,Node,12.66
IEEE 33,Active power,sigma_P,kW,Analytical UQ NRSE,33,1000,1000,1000,0,68.23030303030305,50.050335013068754,75.9814925595065,2.0049159932494756,3.043666132978804,Node,12.66
IEEE 33,Active power,sigma_P,kW,Monte Carlo UQ NRSE,33,1000,1000,1000,1000,67.9787878787879,49.927613108566696,76.0069637442701,2.0000000000000004,3.0446864575318004,Node,12.66
IEEE 33,Active power,sigma_P,kW,Gain inverse NumPy,33,1000,1000,1000,1,68.25454545454545,50.06495691288577,75.9773507458272,2.0055017172169007,3.043500220233474,Node,12.66
IEEE 33,Reactive power,sigma_Q,kvar,Analytical UQ ILSE,33,1000,1000,1000,0,84.76060606060607,40.29499252950851,46.59718248421851,2.891663778972332,3.3439238062422874,Node,12.66
IEEE 33,Reactive power,sigma_Q,kvar,Monte Carlo UQ ILSE,33,1000,1000,1000,1000,67.94545454545454,27.869763298573357,42.91223494101435,2.0000000000000004,3.0794832723398846,Node,12.66
IEEE 33,Reactive power,sigma_Q,kvar,Analytical UQ NRSE,33,1000,1000,1000,0,67.77878787878788,24.681646696387997,37.88779270354024,2.000743616431204,3.071260209043113,Node,12.66
IEEE 33,Reactive power,sigma_Q,kvar,Monte Carlo UQ NRSE,33,1000,1000,1000,1000,67.79393939393938,24.672473268127685,37.886117619352085,1.9999999999999993,3.071124423370558,Node,12.66
IEEE 33,Reactive power,sigma_Q,kvar,Gain inverse NumPy,33,1000,1000,1000,1,67.7909090909091,24.688324184248287,37.88136343301,2.00128490694454,3.0707390395227034,Node,12.66
IEEE 33,Current magnitude,sigma_|I|,A,Analytical UQ ILSE,64,1000,1000,1000,0,61.059375,1.4091082836507602,2.5365116317544385,1.7145773767155714,3.0863813023044764,Branch terminal,12.66
IEEE 33,Current magnitude,sigma_|I|,A,Monte Carlo UQ ILSE,64,1000,1000,1000,1000,68.315625,1.6436800144301853,2.501081966480636,1.9999999999999996,3.0432711288366985,Branch terminal,12.66
IEEE 33,Current magnitude,sigma_|I|,A,Analytical UQ NRSE,64,1000,1000,1000,0,68.20625,1.5557011161880352,2.382087319393584,1.989341343003803,3.0460766131776635,Branch terminal,12.66
IEEE 33,Current magnitude,sigma_|I|,A,Monte Carlo UQ NRSE,64,1000,1000,1000,1000,68.478125,1.5640363798391745,2.378969469904559,1.9999999999999993,3.0420896861097066,Branch terminal,12.66
IEEE 33,Current magnitude,sigma_|I|,A,Gain inverse NumPy,64,1000,1000,1000,1,68.21875,1.556544605628225,2.3811987972855726,1.9904199489122878,3.0449404220769134,Branch terminal,12.66
IEEE 33,Active power,sigma_P,kW,Analytical UQ ILSE,64,1000,1000,1000,0,56.018750000000004,29.441343316913606,59.69870926013187,1.5417835666970552,3.126300586883195,Branch terminal,12.66
IEEE 33,Active power,sigma_P,kW,Monte Carlo UQ ILSE,64,1000,1000,1000,1000,68.2125,38.19127918192234,58.035630379298475,2.0000000000000004,3.0392085116001755,Branch terminal,12.66
IEEE 33,Active power,sigma_P,kW,Analytical UQ NRSE,64,1000,1000,1000,0,68.3828125,36.45897368778297,55.41777160608908,2.0003911083248664,3.040601705174877,Branch terminal,12.66
IEEE 33,Active power,sigma_P,kW,Monte Carlo UQ NRSE,64,1000,1000,1000,1000,68.4078125,36.45184537769097,55.42035169750465,1.9999999999999991,3.040743266809896,Branch terminal,12.66
IEEE 33,Active power,sigma_P,kW,Gain inverse NumPy,64,1000,1000,1000,1,68.44531249999999,36.47023690895548,55.41077056817531,2.001009086430271,3.0402175798807396,Branch terminal,12.66
IEEE 33,Reactive power,sigma_Q,kvar,Analytical UQ ILSE,64,1000,1000,1000,0,84.85781250000001,29.46175960001599,34.018844223566106,2.9138472585355815,3.3645551835720395,Branch terminal,12.66
IEEE 33,Reactive power,sigma_Q,kvar,Monte Carlo UQ ILSE,64,1000,1000,1000,1000,67.8671875,20.22189702203036,31.165173411834942,2.000000000000001,3.0823194656646358,Branch terminal,12.66
IEEE 33,Reactive power,sigma_Q,kvar,Analytical UQ NRSE,64,1000,1000,1000,0,68.03281249999999,17.976789337219422,27.573849727333705,2.005578657696015,3.0762737153046804,Branch terminal,12.66
IEEE 33,Reactive power,sigma_Q,kvar,Monte Carlo UQ NRSE,64,1000,1000,1000,1000,67.9109375,17.926785636890397,27.566185959015087,1.9999999999999996,3.075418707778641,Branch terminal,12.66
